feature,feature_decile,row_count,feature_value_min,feature_value_max,mean_feature_value,actual_positive_rate,mean_pred_prob,mean_excess_forward_return
beta_63d_to_sector,9,14,1.141165089057003,1.2463359718130709,1.1977827289853782,0.42857142857142855,0.4687512218952179,-0.003139119344230235
beta_63d_to_sector,10,14,1.2687808288166929,1.7567443033729375,1.4015487097509287,0.21428571428571427,0.5226117372512817,-0.02009819759356544
cash_ratio,1,13,-1.6133004074577109,-0.48930678466076694,-1.262147515963748,0.38461538461538464,0.5579034090042114,-0.0064560801295403085
cash_ratio,2,12,-0.41964285714285715,-0.05283687943262411,-0.20030553453969233,0.5833333333333334,0.4841766655445099,-0.0005715256523385059
cash_ratio,3,13,-0.05062537224538416,-0.015996236179722418,-0.029890291862501025,0.38461538461538464,0.47652673721313477,-0.008940779986011834
cash_ratio,4,12,-0.014514072766499951,-0.007907542579075427,-0.010944679327383236,0.4166666666666667,0.42658278346061707,-0.002059484424955561
cash_ratio,5,12,-0.007217847769028871,-0.005147058823529412,-0.006171223792252058,0.75,0.5308404564857483,0.0060356139348452095
cash_ratio,6,12,-0.004866694879390605,-0.0018397962071893576,-0.0030982218997710515,0.6666666666666666,0.5014722943305969,0.01723594527628353
cash_ratio,7,13,-0.0018196132618877384,-0.00030777122339061295,-0.001007776471392703,0.38461538461538464,0.45563003420829773,0.0009490209093209174
cash_ratio,8,12,-0.0002914602156805596,0.0013831258644536654,0.0004321720916440487,0.5,0.505711019039154,0.0015890890663894759
cash_ratio,9,12,0.0023752969121140144,0.021388667198723066,0.011602365835191425,0.3333333333333333,0.5159426331520081,-0.013166240369738243
cash_ratio,10,13,0.02738095238095238,6.066667351927691,1.0278592525056214,0.6923076923076923,0.5546143054962158,0.008601962764352116
log_volume,1,14,13.67751320778015,14.485952412471239,14.185286331326434,0.42857142857142855,0.5359495282173157,-0.001223508541925945
log_volume,2,14,14.490086862311108,14.778837917460912,14.627857767264741,0.35714285714285715,0.5754944086074829,0.00021116228620545775
log_volume,3,13,14.784280261033341,14.935199498615656,14.86041699594253,0.7692307692307693,0.5211827754974365,0.013956024566152728
log_volume,4,14,14.938718218722693,15.148852617726304,15.055622964114088,0.2857142857142857,0.533507227897644,-0.01769364401537814
log_volume,5,14,15.14977477434169,15.348909619913707,15.239298515986354,0.2857142857142857,0.5343002676963806,-0.013808229484721666
log_volume,6,13,15.356519939641235,15.596697838025353,15.48358276170192,0.6153846153846154,0.46311333775520325,0.008296196477715165
log_volume,7,14,15.60177177278966,15.760477548099297,15.679602478824705,0.5714285714285714,0.475431889295578,0.00854930623182237
